ATIVIDADES DE EXTENSÃO REGISTRADAS NA PRÓ-REITORIA DE EXTENSÃO UNIVERSITÁRIA (PROEXT) EM 2021 E HOMOLOGADAS PELO CONSELHO DE EXTENSÃO UNIVERSITÁRIA (COEXT) ,,,,,,,,,,,,
Registro,Título da Atividade,Coordenador da Atividade,Unidade UFTM,Modalidade,Área Temática Principal,Início,Término,Envio,Data do Registro,Edital,Órgão Financeiro ,Valores (R$)
43/2021,EducaParasito - Educação Parasitológica em Saúde para Alunos do Ensino Fundamental,Marcos Vinícius da Silva,ICBN,Projeto,Saúde,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
44/2021,Capim na Medida Certa,Paula de Aguiar Silva ,Campus Universitário de Iturama,Programa,Tecnologia e Produção,01/03/2021 - 01/04/2021,01/12/2021 - 01/07/2022,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa e Edital nº 04/2021 (Fomento Institucional),PROEXT-UFTM,"R$ 7.200,00 / R$ 2.400,00"
45/2021,Programa de Atividades Gímnicas na Universidade - PAGU ,Regina Maria Rovigati Simões,ICS,Programa,Saúde,01/03/2021,01/12/2021,19/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
46/2021,"Incêndios Florestais, Educação Ambiental e Geoprocessamento",Ricardo Vicente Ferreira ,IELACHS,Projeto,Meio ambiente,01/03/2021,01/12/2021,19/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
47/2021, Memória Viva,Rodrigo César Rosa,ICBN,Programa,Cultura,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa (09 meses - março a novembro/21) + 1 Bolsa PS DDCULT 06/2021 (08 meses - maio a dez/21),PROEXT-UFTM,"R$ 10.400,00"
48/2021, PROGRAMA REEDUCA COVID-19,Rodrigo Juliano Molina,ICS,Programa,Saúde,01/03/2021,01/12/2021,12/11/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
49/2021,Territórios de Vida: Saúde Mental e Inserção Comunitária - Ano III,Rosimar Alves Querino ,ICS,Programa,Saúde,01/03/2021,01/12/2021,19/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
50/2021,Educação para a Sexualidade: uma Proposta Conscientizadora para Alunos e Professores da Educação Básica ,Simone Acrani,ICBN,Programa,Saúde,01/03/2021,01/12/2021,20/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
51/2021,Agita Campus,Suziane Peixoto dos Santos Naves,ICS,Projeto,Saúde,01/03/2021,01/12/2021,11/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 3.600,00"
52/2021, Liga de Sexualidade (LiS/UFTM),Walter Mariano de Faria Silva Neto ,IELACHS,Liga Acadêmica (Programa),Saúde,01/03/2021,01/12/2021,18/12/2020,26/02/2021,SIGProj -  Edital PIBEX nº  07/2020 - com bolsa,PROEXT-UFTM,"R$ 7.200,00"
53/2021,11ª Calourada ICENE,Janaina Farias de Ornellas,ICENE,Evento,Educação,26/03/2021,31/03/2021,03/03/2021,03/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
54/2021,UFTM Cultural,Sandra Eleutério Campos Martins,Proace,Programa,Cultura,01/04/2021,01/04/2023,15/02/2021,05/03/2021,SIEX - Fluxo Contínuo,PROEXT - UFTM (2 Bolsas de Extensão - 09 meses/2021 - PS DDCULT nº 06/2021) / (02 bolsas de Extensão - 09 meses/2022 - Ed. PROEXT 13/2021),"R$ 7.200,00 / R$ 7.200,00"
55/2021,Liga Acadêmica do Núcleo Interdisciplinar de Estudos em Revisões Sistemáticas - NIERS/UFTM,Leonardo Augusto Lombardi,ICBN,Liga Acadêmica (Programa),Saúde,05/04/2021,05/04/2022,09/02/2021,05/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
56/2021,Liga de Emergências Clínicas,Leandro de Resende Yamamoto,ICS,Liga Acadêmica (Programa),Saúde,01/03/2021,01/03/2022,25/01/2021,08/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
57/2021,Ateliê Colaborativo II- práticas pedagógicas em tempos de Covid-19,Fernanda Borges de Andrade,IELACHS,Projeto,Educação,13/03/2021,04/12/2021,03/02/2021,08/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
58/2021,Estudos continuados em clínica psicanalítica winnicottiana,Conceição Aparecida Serralha,IELACHS,Prestação de Serviços,Saúde,09/03/2021,10/12/2021,09/02/2021,08/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
59/2021,Produção de álcool em gel 70 %,Luís Antônio da Silva,ICENE,Projeto,Saúde,05/04/2021,04/04/2023,07/03/2021,09/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
60/2021,I Concurso de fotografia do Geopark Uberaba - Terra de Gigantes ,GYZAH AMUI BARROS PEREIRA,Proext/DDEX,Evento,Cultura,20/10/2020,11/02/2021,11/03/2021,11/03/2021,SIEX - Fluxo Contínuo,Não Tem Recurso Financeiro,----
